targ_Co,net_id,community,net_name,burnin_time
0.1488020541003991,21,meishan,down_rand,5000
0.11875432402855078,15,meishan,atn,5000
0.1217756359853721,20,dolomites,atn,5000
0.10888507165704364,24,dolomites,down_niche,5000
0.09203848841795143,5,kashmir,down_rand,5000
0.1217756359853721,20,turkiye,down_rand,5000
0.10888507165704364,24,greenland,down_link,5000
0.14134530383157667,6,dolomites,down_power,5000
0.06559894078556319,14,kashmir,down_power,5000
0.09631068540997012,28,turkiye,atn,5000
0.10180120395621034,3,meishan,atn,5000
0.1477553764218023,22,greenland,atn,5000
0.09631068540997012,28,kashmir,down_link,5000
0.09203848841795143,5,turkiye,down_rand,5000
0.10464586405049539,9,kashmir,metaweb,5000
0.1379784657764207,19,turkiye,down_link,5000
0.11875432402855078,15,dolomites,metaweb,5000
0.14790019237177113,8,meishan,metaweb,5000
0.05820917600388678,13,kashmir,atn,5000
0.09669891837584839,17,turkiye,niche,5000
0.1477553764218023,22,turkiye,metaweb,5000
0.08720157519969579,30,greenland,down_niche,5000
0.1217756359853721,20,tibet,down_rand,5000
0.1488020541003991,21,kashmir,down_power,5000
0.125585399439624,27,greenland,down_power,5000
0.1379784657764207,19,tibet,down_link,5000
0.14790019237177113,8,meishan,down_link,5000
0.06559894078556319,14,turkiye,niche,5000
0.1217756359853721,20,greenland,niche,5000
0.1325730842502795,12,dolomites,down_power,5000
0.05820917600388678,13,turkiye,niche,5000
0.06559894078556319,14,meishan,atn,5000
0.1487554453104393,11,dolomites,atn,5000
0.09203848841795143,5,meishan,down_power,5000
0.09222320351402782,23,kashmir,metaweb,5000
0.09203848841795143,5,dolomites,niche,5000
0.10888507165704364,24,greenland,down_rand,5000
0.09669891837584839,17,tibet,down_niche,5000
0.14790019237177113,8,kashmir,niche,5000
0.1217756359853721,20,kashmir,down_rand,5000
0.06559894078556319,14,tibet,down_rand,5000
0.1325730842502795,12,meishan,down_power,5000
0.13346342364026428,29,dolomites,down_power,5000
0.14790019237177113,8,tibet,niche,5000
0.1325730842502795,12,kashmir,down_power,5000
0.10015705237626768,18,kashmir,down_niche,5000
0.1379784657764207,19,meishan,atn,5000
0.1477553764218023,22,greenland,down_niche,5000
0.1379784657764207,19,meishan,down_power,5000
0.1001073140058574,1,tibet,down_link,5000
0.08720157519969579,30,greenland,atn,5000
0.1325730842502795,12,kashmir,down_rand,5000
0.05820917600388678,13,tibet,atn,5000
0.14134530383157667,6,meishan,metaweb,5000
0.11875432402855078,15,kashmir,down_link,5000
0.08720157519969579,30,turkiye,down_link,5000
0.05820917600388678,13,tibet,down_niche,5000
0.10464586405049539,9,dolomites,metaweb,5000
0.09631068540997012,28,kashmir,niche,5000
0.10464586405049539,9,meishan,down_niche,5000
0.08720157519969579,30,dolomites,niche,5000
0.13346342364026428,29,kashmir,down_link,5000
0.125585399439624,27,kashmir,down_niche,5000
0.14790019237177113,8,tibet,down_niche,5000
0.1217756359853721,20,meishan,down_power,5000
0.1217756359853721,20,dolomites,niche,5000
0.08720157519969579,30,kashmir,down_power,5000
0.1487554453104393,11,dolomites,metaweb,5000
0.1450434217413936,25,greenland,down_niche,5000
0.10180120395621034,3,tibet,down_power,5000
0.13346342364026428,29,dolomites,niche,5000
0.08720157519969579,30,kashmir,down_link,5000
0.11875432402855078,15,turkiye,atn,5000
0.1379784657764207,19,kashmir,niche,5000
0.12227163347290085,26,turkiye,down_niche,5000
0.13346342364026428,29,turkiye,down_niche,5000
0.1477553764218023,22,meishan,niche,5000
0.11875432402855078,15,tibet,down_rand,5000
0.1325730842502795,12,kashmir,niche,5000
0.10015705237626768,18,dolomites,metaweb,5000
0.10180120395621034,3,kashmir,atn,5000
0.13346342364026428,29,greenland,down_niche,5000
0.05359333758391879,10,dolomites,down_power,5000
0.09203848841795143,5,meishan,atn,5000
0.14134530383157667,6,meishan,down_link,5000
0.05820917600388678,13,tibet,metaweb,5000
0.08869017758060528,7,meishan,down_rand,5000
0.1477553764218023,22,tibet,down_niche,5000
0.1450434217413936,25,kashmir,down_rand,5000
0.09203848841795143,5,kashmir,down_link,5000
0.09222320351402782,23,kashmir,atn,5000
0.12227163347290085,26,tibet,down_link,5000
0.14134530383157667,6,meishan,down_power,5000
0.11875432402855078,15,turkiye,down_link,5000
0.09631068540997012,28,greenland,niche,5000
0.09222320351402782,23,greenland,metaweb,5000
0.09203848841795143,5,tibet,down_niche,5000
0.06559894078556319,14,greenland,down_rand,5000
0.1487554453104393,11,turkiye,metaweb,5000
0.09631068540997012,28,kashmir,down_niche,5000
0.1344119441562362,4,tibet,atn,5000
0.125585399439624,27,dolomites,down_link,5000
0.09631068540997012,28,meishan,down_link,5000
0.1344119441562362,4,greenland,down_link,5000
0.1344119441562362,4,dolomites,down_power,5000
0.12544313803518975,16,turkiye,down_rand,5000
0.05359333758391879,10,tibet,metaweb,5000
0.05359333758391879,10,dolomites,down_niche,5000
0.1348638262235657,2,greenland,niche,5000
0.1488020541003991,21,dolomites,atn,5000
0.125585399439624,27,turkiye,down_link,5000
0.09631068540997012,28,meishan,down_rand,5000
0.12544313803518975,16,turkiye,niche,5000
