net_id,net_type,stage,species_id,original_id,trophic_level,trophic_class,biomass,bodysize,t_val,community
1,down_power,creation,1,1,3.2499999999999996,intermediate,0.44999678210201033,69.51484853301827,5000,dolomites
1,down_power,creation,2,2,3.5212045334104154,intermediate,0.14298659328056618,103.28906576693116,5000,dolomites
1,down_power,creation,3,3,3.673648317435082,top,0.20456829994029657,249.23474167688542,5000,dolomites
1,down_power,creation,4,4,3.248358726373434,intermediate,0.7249268914353664,87.85371155547365,5000,dolomites
1,down_power,creation,5,5,3.2322883545310024,intermediate,0.43911013861795256,52.15803957466843,5000,dolomites
1,down_power,creation,6,6,3.285989114114113,intermediate,0.19020563666679347,96.07944390705637,5000,dolomites
1,down_power,creation,7,7,3.0,intermediate,0.5447859694103632,39.6369829655967,5000,dolomites
1,down_power,creation,8,8,2.0,top,0.31159890121176315,52.37536522141427,5000,dolomites
1,down_power,creation,9,9,2.0,intermediate,0.0036665298614110275,16.635387773534372,5000,dolomites
1,down_power,creation,10,10,2.0,intermediate,0.9649735402014246,77.0038112321469,5000,dolomites
1,down_power,creation,11,11,2.0,intermediate,0.8921055426583834,20.629646335076817,5000,dolomites
1,down_power,creation,12,12,2.0,intermediate,0.7956647509139354,39.49863091540456,5000,dolomites
1,down_power,creation,13,13,1.9999999999999998,top,0.8610729441644823,8.995503767516963,5000,dolomites
1,down_power,creation,14,14,2.0,top,0.0032884245788191713,19.309542317421727,5000,dolomites
1,down_power,creation,15,15,1.9999999999999998,intermediate,0.24697861210049543,59.812041204926636,5000,dolomites
1,down_power,creation,16,16,1.9999999999999998,intermediate,0.8096614774954228,78.3392849478211,5000,dolomites
1,down_power,creation,17,17,2.0000000000000004,intermediate,0.46703867443479674,52.03401985029756,5000,dolomites
1,down_power,creation,18,18,2.0,intermediate,0.8050896866097033,73.63047119442977,5000,dolomites
1,down_power,creation,19,19,2.0,intermediate,0.6874897132331311,35.5048167173746,5000,dolomites
1,down_power,creation,20,20,1.9999999999999998,intermediate,0.6164896437490109,11.14776722817648,5000,dolomites
1,down_power,creation,21,21,2.0,intermediate,0.6088928081846284,20.09337708420722,5000,dolomites
1,down_power,creation,22,22,1.9999999999999998,intermediate,0.3142767459166681,0.9909476670530932,5000,dolomites
1,down_power,creation,23,23,1.9999999999999998,intermediate,0.3326833238451321,9.888985608990069,5000,dolomites
1,down_power,creation,24,24,1.9999999999999998,intermediate,0.45476753524208613,5.029702977104747,5000,dolomites
1,down_power,creation,25,25,2.0000000000000004,intermediate,0.6791162004136155,69.88743153207393,5000,dolomites
1,down_power,creation,26,26,2.0,intermediate,0.3411363354689415,42.54902220823812,5000,dolomites
1,down_power,creation,27,27,2.0,intermediate,0.5800908779119922,23.302430080309296,5000,dolomites
1,down_power,creation,28,28,1.9999999999999996,intermediate,0.03193452092049376,74.94222172135926,5000,dolomites
1,down_power,creation,29,29,2.0,intermediate,0.3779429522211021,28.990793710150815,5000,dolomites
1,down_power,creation,30,30,2.0,intermediate,0.7801662051853414,7.384230246062291,5000,dolomites
1,down_power,creation,31,31,2.0,intermediate,0.1904754056017448,50.54136287147196,5000,dolomites
1,down_power,creation,32,32,1.9999999999999998,top,0.13848950621808342,84.97797940534792,5000,dolomites
1,down_power,creation,33,33,2.0000000000000004,intermediate,0.551351544489349,77.19367829460282,5000,dolomites
1,down_power,creation,34,34,1.9999999999999998,intermediate,0.44713469318200594,10.249180306844952,5000,dolomites
1,down_power,creation,35,35,1.9999999999999998,intermediate,0.9316178897094862,16.44177826212225,5000,dolomites
1,down_power,creation,36,36,1.9999999999999998,intermediate,0.3649138154932593,5.556256603767971,5000,dolomites
1,down_power,creation,37,37,1.9999999999999998,intermediate,0.9888234652630548,51.28678462322104,5000,dolomites
1,down_power,creation,38,38,1.9999999999999998,intermediate,0.6324354437612916,19.7326524554553,5000,dolomites
1,down_power,creation,39,39,1.9999999999999998,intermediate,0.6862818151957011,15.243423059867434,5000,dolomites
1,down_power,creation,40,40,3.0,intermediate,0.21190410476972088,19.28263699166755,5000,dolomites
1,down_power,creation,41,41,2.9489020270270268,intermediate,0.4357951727070509,56.391126903178794,5000,dolomites
1,down_power,creation,42,42,2.9489020270270263,intermediate,0.15477788746666032,73.64624573382115,5000,dolomites
1,down_power,creation,43,43,2.777777777777777,intermediate,0.42518404012482514,27.338943155836795,5000,dolomites
1,down_power,creation,44,44,1.0,basal,0.9912599373714637,0.006,5000,dolomites
1,down_power,creation,45,45,1.0,basal,0.7070838657498261,0.019,5000,dolomites
1,down_power,creation,46,46,1.0,basal,0.2492559304176415,0.06,5000,dolomites
1,down_power,creation,47,47,1.0,basal,0.44732799825802205,0.19,5000,dolomites
1,down_power,creation,48,48,1.0,basal,0.932422971488508,0.6,5000,dolomites
1,down_power,creation,49,49,1.0,basal,0.5687075336582348,1.9,5000,dolomites
1,down_power,creation,50,50,1.0,basal,0.6767738997863176,6.0,5000,dolomites
