net_id,net_type,stage,species_id,original_id,trophic_level,trophic_class,biomass,bodysize,metabolism,t_val,community
1,atn_nestedbm,creation,1,1,2.6333333333333337,top,0.9344466846038446,42.986623470822806,0.12262988323525431,5000,turkiye
1,atn_nestedbm,creation,2,2,2.595238095238095,top,0.2678156405609461,39.376589235643834,0.12534878371430452,5000,turkiye
1,atn_nestedbm,creation,3,3,2.75,top,0.7089501762298568,56.23413251903491,0.11466467595801905,5000,turkiye
1,atn_nestedbm,creation,4,4,2.7222222222222223,top,0.964894475578334,52.749970637026195,0.11651292161207809,5000,turkiye
1,atn_nestedbm,creation,5,5,2.5,top,0.2557185801898193,31.622776601683793,0.13241270207657482,5000,turkiye
1,atn_nestedbm,creation,6,6,2.75,top,0.3284407758351955,56.23413251903491,0.11466467595801905,5000,turkiye
1,atn_nestedbm,creation,7,7,2.6333333333333337,top,0.4245257179675179,42.986623470822806,0.12262988323525431,5000,turkiye
1,atn_nestedbm,creation,8,8,2.595238095238095,top,0.4479481541940228,39.376589235643834,0.12534878371430452,5000,turkiye
1,atn_nestedbm,creation,9,9,2.595238095238095,top,0.022304521254166043,39.376589235643834,0.12534878371430452,5000,turkiye
1,atn_nestedbm,creation,10,10,2.6333333333333337,top,0.5816062828028603,42.986623470822806,0.12262988323525431,5000,turkiye
1,atn_nestedbm,creation,11,11,2.5,top,0.5472724843051063,31.622776601683793,0.13241270207657482,5000,turkiye
1,atn_nestedbm,creation,12,12,2.4999999999999996,top,0.5031216588815733,31.62277660168376,0.13241270207657485,5000,turkiye
1,atn_nestedbm,creation,13,13,2.3333333333333335,top,0.3348377279405679,21.544346900318846,0.14574588937544125,5000,turkiye
1,atn_nestedbm,creation,14,14,2.3333333333333335,top,0.3315263077198288,21.544346900318846,0.14574588937544125,5000,turkiye
1,atn_nestedbm,creation,15,15,2.1666666666666665,intermediate,0.5332457671277491,14.67799267622069,0.16042165091951754,5000,turkiye
1,atn_nestedbm,creation,16,16,2.4999999999999996,top,0.4119133344646885,31.62277660168376,0.13241270207657485,5000,turkiye
