spp_id,gen,vul,can,net_id,net_type,community,stage,S4_consumer,S4_resource,S5_consumer,S5_resource
9,0,2,false,1,niche,turkiye,creation,4,6,1,13
24,0,6,false,1,niche,turkiye,creation,1,3,0,13
10,9,2,false,1,niche,turkiye,creation,4,2,0,22
22,5,4,true,1,niche,turkiye,creation,0,0,0,0
26,0,3,false,1,niche,turkiye,creation,1,4,15,12
3,5,0,false,1,niche,turkiye,creation,1,3,0,21
5,11,0,false,1,niche,turkiye,creation,8,6,1,25
30,1,8,false,1,niche,turkiye,creation,15,27,24,25
31,3,8,false,1,niche,turkiye,creation,5,3,0,30
28,0,6,false,1,niche,turkiye,creation,3,0,0,30
38,2,4,false,1,niche,turkiye,creation,7,23,9,19
37,1,7,false,1,niche,turkiye,creation,2,28,9,19
8,7,2,false,1,niche,turkiye,creation,9,0,0,22
35,1,8,false,1,niche,turkiye,creation,6,23,13,13
25,7,3,false,1,niche,turkiye,creation,1,0,0,14
33,3,6,false,1,niche,turkiye,creation,16,17,3,20
41,0,1,false,1,niche,turkiye,creation,15,0,0,24
27,3,7,false,1,niche,turkiye,creation,15,2,0,19
21,0,5,false,1,niche,turkiye,creation,25,0,0,33
39,1,5,false,1,niche,turkiye,creation,29,6,1,38
14,1,4,false,1,niche,turkiye,creation,14,1,0,32
6,4,2,false,1,niche,turkiye,creation,17,0,0,27
1,16,0,false,1,niche,turkiye,creation,23,1,0,31
19,9,4,false,1,niche,turkiye,creation,25,0,0,30
32,1,6,false,1,niche,turkiye,creation,11,3,1,18
16,6,4,true,1,niche,turkiye,creation,0,0,0,0
4,11,0,false,1,niche,turkiye,creation,3,4,1,16
15,14,4,false,1,niche,turkiye,creation,5,0,0,7
11,13,2,false,1,niche,turkiye,creation,3,0,0,8
36,2,6,false,1,niche,turkiye,creation,0,0,0,0
17,4,1,false,1,down_niche,turkiye,creation,15,0,15,0
20,4,7,false,1,down_niche,turkiye,creation,5,3,19,0
29,0,20,false,1,down_niche,turkiye,creation,5,3,11,2
34,4,1,true,1,down_niche,turkiye,creation,0,0,0,0
7,6,4,false,1,down_niche,turkiye,creation,3,5,6,0
2,8,0,false,1,down_niche,turkiye,creation,67,0,6,0
23,3,0,false,1,down_niche,turkiye,creation,80,5,29,6
40,3,0,false,1,down_niche,turkiye,creation,75,10,15,0
12,3,4,false,1,down_niche,turkiye,creation,69,13,22,11
18,6,4,false,1,down_niche,turkiye,creation,45,12,14,13
13,5,0,false,1,down_niche,turkiye,creation,40,12,3,12
9,5,5,false,1,down_niche,turkiye,creation,36,17,12,11
24,8,0,false,1,down_niche,turkiye,creation,61,23,10,0
10,3,4,false,1,down_niche,turkiye,creation,19,8,3,0
22,5,0,false,1,down_niche,turkiye,creation,60,27,10,3
26,0,16,false,1,down_niche,turkiye,creation,63,40,26,8
3,6,1,false,1,down_niche,turkiye,creation,36,30,6,3
5,4,0,false,1,down_niche,turkiye,creation,48,44,18,15
30,0,14,false,1,down_niche,turkiye,creation,32,35,6,16
31,0,4,false,1,down_niche,turkiye,creation,36,41,7,29
28,0,17,false,1,down_niche,turkiye,creation,38,63,15,19
38,4,0,false,1,down_niche,turkiye,creation,30,57,10,0
37,4,0,false,1,down_niche,turkiye,creation,0,0,3,0
8,6,0,false,1,down_niche,turkiye,creation,18,13,0,23
35,5,0,false,1,down_niche,turkiye,creation,23,12,1,35
25,10,3,false,1,down_niche,turkiye,creation,66,48,15,51
33,0,6,false,1,down_niche,turkiye,creation,82,84,20,49
41,4,1,false,1,down_niche,turkiye,creation,76,60,9,57
27,0,19,false,1,down_niche,turkiye,creation,115,75,8,67
21,6,4,false,1,down_niche,turkiye,creation,58,33,4,48
39,6,0,false,1,down_niche,turkiye,creation,3,3,1,15
14,3,1,false,1,down_niche,turkiye,creation,100,84,1,71
