net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,2,12,31
1,atn_nestedbm,creation,2,12,37
1,atn_nestedbm,creation,2,12,38
1,atn_nestedbm,creation,2,12,39
1,atn_nestedbm,creation,2,13,29
1,atn_nestedbm,creation,2,13,30
1,atn_nestedbm,creation,2,13,37
1,atn_nestedbm,creation,2,13,38
1,atn_nestedbm,creation,2,14,29
1,atn_nestedbm,creation,2,14,30
1,atn_nestedbm,creation,2,14,37
1,atn_nestedbm,creation,2,14,38
1,atn_nestedbm,creation,2,15,18
1,atn_nestedbm,creation,2,15,19
1,atn_nestedbm,creation,2,15,23
1,atn_nestedbm,creation,2,15,24
1,atn_nestedbm,creation,2,15,25
1,atn_nestedbm,creation,2,16,29
1,atn_nestedbm,creation,2,16,30
1,atn_nestedbm,creation,2,16,31
1,atn_nestedbm,creation,2,16,37
1,atn_nestedbm,creation,2,16,38
1,atn_nestedbm,creation,2,16,39
1,atn_nestedbm,creation,2,17,29
1,atn_nestedbm,creation,2,17,37
1,atn_nestedbm,creation,2,18,30
1,atn_nestedbm,creation,2,18,31
1,atn_nestedbm,creation,2,18,38
1,atn_nestedbm,creation,2,18,39
1,atn_nestedbm,creation,2,19,30
1,atn_nestedbm,creation,2,19,31
1,atn_nestedbm,creation,2,19,38
1,atn_nestedbm,creation,2,19,39
1,atn_nestedbm,creation,2,20,29
1,atn_nestedbm,creation,2,20,30
1,atn_nestedbm,creation,2,20,31
1,atn_nestedbm,creation,2,20,37
1,atn_nestedbm,creation,2,20,38
1,atn_nestedbm,creation,2,20,39
1,atn_nestedbm,creation,2,21,29
1,atn_nestedbm,creation,2,21,30
1,atn_nestedbm,creation,2,21,37
1,atn_nestedbm,creation,2,21,38
1,atn_nestedbm,creation,2,22,29
1,atn_nestedbm,creation,2,22,37
1,atn_nestedbm,creation,2,23,30
1,atn_nestedbm,creation,2,23,31
1,atn_nestedbm,creation,2,23,38
1,atn_nestedbm,creation,2,23,39
1,atn_nestedbm,creation,2,24,30
1,atn_nestedbm,creation,2,24,31
1,atn_nestedbm,creation,2,24,38
1,atn_nestedbm,creation,2,24,39
1,atn_nestedbm,creation,2,25,29
1,atn_nestedbm,creation,2,25,30
1,atn_nestedbm,creation,2,25,31
1,atn_nestedbm,creation,2,25,37
1,atn_nestedbm,creation,2,25,38
1,atn_nestedbm,creation,2,25,39
1,atn_nestedbm,creation,2,29,40
1,atn_nestedbm,creation,2,29,41
1,atn_nestedbm,creation,2,30,41
1,atn_nestedbm,creation,2,37,40
1,atn_nestedbm,creation,2,37,41
1,atn_nestedbm,creation,2,38,41
1,atn_nestedbm,creation,3,4,15
1,atn_nestedbm,creation,3,4,17
1,atn_nestedbm,creation,3,4,30
1,atn_nestedbm,creation,3,4,31
1,atn_nestedbm,creation,3,4,38
1,atn_nestedbm,creation,3,4,39
1,atn_nestedbm,creation,3,5,30
1,atn_nestedbm,creation,3,5,38
1,atn_nestedbm,creation,3,6,15
1,atn_nestedbm,creation,3,6,17
1,atn_nestedbm,creation,3,6,22
1,atn_nestedbm,creation,3,6,30
1,atn_nestedbm,creation,3,6,31
1,atn_nestedbm,creation,3,6,32
1,atn_nestedbm,creation,3,6,38
1,atn_nestedbm,creation,3,6,39
1,atn_nestedbm,creation,3,6,40
1,atn_nestedbm,creation,3,7,15
1,atn_nestedbm,creation,3,7,30
1,atn_nestedbm,creation,3,7,31
1,atn_nestedbm,creation,3,7,38
1,atn_nestedbm,creation,3,7,39
1,atn_nestedbm,creation,3,8,15
1,atn_nestedbm,creation,3,8,30
1,atn_nestedbm,creation,3,8,31
1,atn_nestedbm,creation,3,8,38
1,atn_nestedbm,creation,3,8,39
1,atn_nestedbm,creation,3,9,15
1,atn_nestedbm,creation,3,9,30
1,atn_nestedbm,creation,3,9,31
